cik,ticker,exchange,name,group,n_filings,first_filed,last_filed,price_from,price_to
1660280,TENB,Nasdaq,"Tenable Holdings, Inc.",listed,18,2018-09-07,2022-11-01,2018-09-07,2023-05-20
97210,TER,Nasdaq,"TERADYNE, INC",listed,20,2018-03-01,2022-11-04,2018-03-01,2023-05-23
97216,TEX,NYSE,TEREX CORP,listed,20,2018-02-16,2022-10-28,2018-02-16,2023-05-16
92230,TFC,NYSE,TRUIST FINANCIAL CORP,listed,20,2018-02-21,2022-10-31,2018-02-21,2023-05-19
1539638,TFIN,NYSE,"Triumph Financial, Inc.",listed,20,2018-02-13,2022-10-19,2018-02-13,2023-05-07
1381668,TFSL,Nasdaq,TFS Financial CORP,listed,20,2018-02-08,2022-11-22,2018-02-08,2023-06-10
96943,TFX,NYSE,TELEFLEX INC,listed,20,2018-02-22,2022-10-27,2018-02-22,2023-05-15
1534675,TGLS,NYSE,Tecnoglass Holdings Inc.,listed,20,2018-03-14,2022-11-04,2018-03-14,2023-05-23
27419,TGT,NYSE,TARGET CORP,listed,20,2018-03-14,2022-11-23,2018-03-14,2023-06-11
1001316,TGTX,Nasdaq,"TG THERAPEUTICS, INC.",listed,20,2018-03-15,2022-11-09,2018-03-15,2023-05-28
1712189,TH,Nasdaq,Target Hospitality Corp.,listed,15,2019-05-15,2022-11-09,2019-05-15,2023-05-28
714562,THFF,Nasdaq,FIRST FINANCIAL CORP /IN/,listed,20,2018-03-07,2022-11-02,2018-03-07,2023-05-21
944695,THG,NYSE,"HANOVER INSURANCE GROUP, INC.",listed,20,2018-02-27,2022-11-02,2018-02-27,2023-05-21
730263,THO,NYSE,THOR INDUSTRIES INC,listed,20,2018-03-07,2022-12-07,2018-03-07,2023-06-25
903129,THRM,Nasdaq,Gentherm Inc,listed,20,2018-02-23,2022-11-03,2018-02-23,2023-05-22
715787,TILE,Nasdaq,INTERFACE INC,listed,20,2018-03-01,2022-11-08,2018-03-01,2023-05-27
1409171,TITN,Nasdaq,Titan Machinery Inc.,listed,20,2018-04-06,2022-12-08,2018-04-06,2023-06-26
109198,TJX,NYSE,TJX COMPANIES INC /DE/,listed,20,2018-04-04,2022-11-29,2018-04-04,2023-06-17
1850902,TKNO,Nasdaq,"Alpha Teknova, Inc.",listed,6,2021-08-13,2022-11-14,2021-08-13,2023-06-02
98362,TKR,NYSE,TIMKEN CO,listed,20,2018-02-15,2022-10-26,2018-02-15,2023-05-14
1731348,TLRY,Nasdaq,"Tilray Brands, Inc.",listed,18,2018-08-29,2022-10-07,2018-08-29,2023-04-25
320121,TLS,Nasdaq,TELOS CORP,listed,20,2018-04-02,2022-11-09,2018-04-02,2023-05-28
1630627,TMCI,Nasdaq,"TREACE MEDICAL CONCEPTS, INC.",listed,7,2021-05-25,2022-11-09,2021-05-25,2023-05-28
1756262,TMDX,Nasdaq,"TransMedics Group, Inc.",listed,15,2019-06-12,2022-11-04,2019-06-12,2023-05-23
97745,TMO,NYSE,THERMO FISHER SCIENTIFIC INC.,listed,20,2018-02-28,2022-11-04,2018-02-28,2023-05-23
1005817,TMP,NYSE,TOMPKINS FINANCIAL CORP,listed,20,2018-03-01,2022-11-07,2018-03-01,2023-05-26
1283699,TMUS,Nasdaq,"T-Mobile US, Inc.",listed,20,2018-02-08,2022-10-27,2018-02-08,2023-05-15
97134,TNC,NYSE,TENNANT CO,listed,20,2018-02-28,2022-10-27,2018-02-28,2023-05-15
1438133,TNDM,Nasdaq,TANDEM DIABETES CARE INC,listed,20,2018-03-01,2022-11-02,2018-03-01,2023-05-21
937098,TNET,NYSE,"TRINET GROUP, INC.",listed,20,2018-02-27,2022-10-25,2018-02-27,2023-05-13
1819133,TNGX,Nasdaq,"Tango Therapeutics, Inc.",listed,5,2021-11-09,2022-11-10,2021-11-09,2023-05-29
1361658,TNL,NYSE,Travel & Leisure Co.,listed,20,2018-02-20,2022-10-27,2018-02-20,2023-05-15
1430306,TNXP,Nasdaq,Tonix Pharmaceuticals Holding Corp.,listed,12,2018-03-09,2022-03-14,2018-03-09,2022-09-30
794170,TOL,NYSE,"Toll Brothers, Inc.",listed,20,2018-03-08,2022-12-19,2018-03-08,2023-07-07
1566610,TONX,Nasdaq,TON Strategy Co,listed,20,2018-04-02,2022-11-14,2018-04-02,2023-06-02
1650164,TOST,NYSE,"Toast, Inc.",listed,5,2021-11-09,2022-11-14,2021-11-09,2023-06-02
1290677,TPB,NYSE,"Turning Point Brands, Inc.",listed,20,2018-03-08,2022-10-26,2018-03-08,2023-05-14
77543,TPC,NYSE,TUTOR PERINI CORP,listed,20,2018-02-27,2022-11-02,2018-02-27,2023-05-21
1811074,TPL,NYSE,Texas Pacific Land Corp,listed,8,2021-02-25,2022-11-02,2021-02-25,2023-05-21
1116132,TPR,NYSE,"TAPESTRY, INC.",listed,20,2018-02-07,2022-11-10,2018-02-07,2023-05-29
98677,TR,NYSE,TOOTSIE ROLL INDUSTRIES INC,listed,20,2018-03-01,2022-11-08,2018-03-01,2023-05-27
50471,TRAK,NYSE,"ReposiTrak, Inc.",listed,20,2018-02-08,2022-11-14,2018-02-08,2023-06-02
96869,TRC,NYSE,TEJON RANCH CO,listed,20,2018-03-12,2022-11-07,2018-03-12,2023-05-26
1434621,TREE,Nasdaq,"LendingTree, Inc.",listed,20,2018-02-26,2022-11-04,2018-02-26,2023-05-23
1069878,TREX,NYSE,TREX CO INC,listed,20,2018-02-21,2022-10-31,2018-02-21,2023-05-19
1389170,TRGP,NYSE,Targa Resources Corp.,listed,20,2018-02-16,2022-11-03,2018-02-16,2023-05-22
1786108,TRIN,NYSE,Trinity Capital Inc.,listed,11,2020-05-14,2022-11-03,2020-05-14,2023-05-22
1526520,TRIP,Nasdaq,"TripAdvisor, Inc.",listed,20,2018-02-21,2022-11-07,2018-02-21,2023-05-26
1754195,TRLV,NYSE,Trulieve Cannabis Corp.,listed,8,2021-03-23,2022-11-09,2021-03-23,2023-05-28
864749,TRMB,Nasdaq,TRIMBLE INC.,listed,20,2018-02-27,2022-11-02,2018-02-27,2023-05-21
36146,TRMK,Nasdaq,TRUSTMARK CORP,listed,20,2018-02-20,2022-11-03,2018-02-20,2023-05-22
99780,TRN,NYSE,TRINITY INDUSTRIES INC,listed,20,2018-02-22,2022-10-25,2018-02-22,2023-05-13
1476150,TRNO,NYSE,Terreno Realty Corp,listed,20,2018-02-07,2022-11-02,2018-02-07,2023-05-21
99302,TRNS,Nasdaq,TRANSCAT INC,listed,20,2018-02-02,2022-11-02,2018-02-02,2023-05-21
1113169,TROW,Nasdaq,PRICE T ROWE GROUP INC,listed,20,2018-02-16,2022-10-27,2018-02-16,2023-05-15
1530804,TROX,NYSE,Tronox Holdings plc,listed,20,2018-03-01,2022-10-27,2018-03-01,2023-05-15
842633,TRS,Nasdaq,TRIMAS CORP,listed,20,2018-02-27,2022-10-27,2018-02-27,2023-05-15
357301,TRST,Nasdaq,TRUSTCO BANK CORP N Y,listed,15,2018-05-04,2022-11-07,2018-05-04,2023-05-26
1630472,TRTX,NYSE,"TPG RE Finance Trust, Inc.",listed,20,2018-02-26,2022-11-01,2018-02-26,2023-05-20
1552033,TRU,NYSE,TransUnion,listed,20,2018-02-13,2022-10-25,2018-02-13,2023-05-13
1371285,TRUP,Nasdaq,"TRUPANION, INC.",listed,20,2018-02-14,2022-11-04,2018-02-14,2023-05-23
86312,TRV,NYSE,"TRAVELERS COMPANIES, INC.",listed,20,2018-02-15,2022-10-19,2018-02-15,2023-05-07
1046050,TSBK,Nasdaq,TIMBERLAND BANCORP INC,listed,20,2018-02-08,2022-12-09,2018-02-08,2023-06-27
916365,TSCO,Nasdaq,TRACTOR SUPPLY CO /DE/,listed,20,2018-02-22,2022-11-03,2018-02-22,2023-05-22
1318605,TSLA,Nasdaq,"Tesla, Inc.",listed,20,2018-02-23,2022-10-24,2018-02-23,2023-05-12
100493,TSN,NYSE,"TYSON FOODS, INC.",listed,12,2019-05-06,2022-11-14,2019-05-06,2023-06-02
1320760,TSSI,Nasdaq,"TSS, Inc.",listed,20,2018-03-23,2022-11-14,2018-03-23,2023-06-02
737758,TTC,NYSE,TORO CO,listed,20,2018-03-07,2022-12-22,2018-03-07,2023-07-10
1671933,TTD,Nasdaq,"Trade Desk, Inc.",listed,20,2018-02-28,2022-11-09,2018-02-28,2023-05-28
831641,TTEK,Nasdaq,TETRA TECH INC,listed,20,2018-02-01,2022-11-25,2018-02-01,2023-06-13
844965,TTI,NYSE,TETRA TECHNOLOGIES INC,listed,20,2018-03-05,2022-10-31,2018-03-05,2023-05-19
1116942,TTMI,Nasdaq,TTM TECHNOLOGIES INC,listed,20,2018-02-23,2022-11-08,2018-02-23,2023-05-27
946581,TTWO,Nasdaq,TAKE TWO INTERACTIVE SOFTWARE INC,listed,20,2018-02-08,2022-11-08,2018-02-08,2023-05-27
1438533,TVTX,Nasdaq,"Travere Therapeutics, Inc.",listed,20,2018-02-27,2022-10-27,2018-02-27,2023-05-15
1758730,TW,Nasdaq,Tradeweb Markets Inc.,listed,15,2019-05-20,2022-10-27,2019-05-20,2023-05-15
899751,TWI,NYSE,TITAN INTERNATIONAL INC,listed,20,2018-02-23,2022-11-07,2018-02-23,2023-05-26
100378,TWIN,Nasdaq,TWIN DISC INC,listed,20,2018-02-06,2022-11-09,2018-02-06,2023-05-28
1447669,TWLO,NYSE,TWILIO INC,listed,20,2018-03-01,2022-11-04,2018-03-01,2023-05-23
1581280,TWST,Nasdaq,Twist Bioscience Corp,listed,17,2018-12-20,2022-11-28,2018-12-20,2023-06-16
1770787,TXG,Nasdaq,"10x Genomics, Inc.",listed,13,2019-11-12,2022-11-03,2019-11-12,2023-05-22
97476,TXN,Nasdaq,TEXAS INSTRUMENTS INC,listed,20,2018-02-22,2022-10-26,2018-02-22,2023-05-14
1108426,TXNM,NYSE,TXNM ENERGY INC,listed,20,2018-03-01,2022-11-04,2018-03-01,2023-05-23
1289460,TXRH,Nasdaq,"Texas Roadhouse, Inc.",listed,20,2018-02-23,2022-11-04,2018-02-23,2023-05-23
217346,TXT,NYSE,TEXTRON INC,listed,20,2018-02-15,2022-10-27,2018-02-15,2023-05-15
860731,TYL,NYSE,TYLER TECHNOLOGIES INC,listed,20,2018-02-21,2022-10-27,2018-02-21,2023-05-15
1810806,U,NYSE,Unity Software Inc.,listed,9,2020-11-13,2022-11-09,2020-11-13,2023-05-28
